Frequency	Input	License	Tone	Description	Category	Tag	Updated
33.980000		KWH498	CSQ	Low Band F-1	Fire	Fire Dispatch	2017-02-20
120.275000			CSQ	ATIS	Pocono Mountains Municipal Airport (KMPO)	Aircraft	2014-02-14
122.700000			CSQ	CTAF/Unicom	Pocono Mountains Municipal Airport (KMPO)	Aircraft	2011-02-01
122.700000			CSQ	CTAF / Unicom	Pegasus Air Park (50PA)	Aircraft	2008-02-10
122.900000			CSQ	CTAF	Flying Dollar Airport (8N4)	Aircraft	2008-02-23
123.000000			CSQ	CTAF / Unicom	Stroudsburg-Pocono Airport (N53)	Aircraft	2008-02-10
125.300000			CSQ	Clearance Delivery	Pocono Mountains Municipal Airport (KMPO)	Aircraft	2011-02-01
145.230000		N3VAE	77.0 PL	N3VAE Skywarn	2m Ham	Ham	2011-11-26
146.865000		WX3OES	100.0 PL	WX3OES Emergency	2m Ham	Ham	2011-11-26
147.045000		WA3MDP	131.8 PL	WA3MDP	2m Ham	Ham	2011-11-26
147.360000	147.96000	N3GRQ	131.8 PL	N3GRQ	2m Ham	Ham	2024-03-25
147.360000	147.96000	N3GRQ	293 NAC	N3GRQ	2m Ham	Ham	2024-03-25
151.175000				Site 097 Mount Pocono (MONR03)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2023-03-26
151.542500				Site 097 Mount Pocono (MONR03)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2023-03-26
151.625000			114.8 PL	Four Seasons Campgrounds - Operations	Miscellaneous	Business	2013-09-09
151.655000		WNAB381	146.2 PL	Arrowhead Lakes Community - Operations	Residential Communities	Business	2013-07-12
151.895000		KNBM747	143 DPL	Poocno Farms Homeowners Assn - Tobyhanna	Residential Communities	Business	2014-02-14
151.910000		WPMZ938	664 DPL	Sky Top Lodge - Operations	Hotels	Business	2013-11-18
152.337500	157.59750	WNWP881	243 DPL	Inn at Pocono Manor - Operations	Hotels	Business	2013-11-23
154.570000			CSQ	Walmart Supercenter - Mt. Pocono	Retail Operations	Business	2013-12-14
154.755000				Site 097 Mount Pocono (MONR03)	PA-STARNet: Pennsylvania Statewide Radio Network	TRS	2023-03-26
155.235000		WQDZ674	664 DPL	EMS - St. Luke's Base A-5	EMS	Hospital	2020-02-20
155.280000		WXT827	186.2 PL	EMS - Secondary Response A-1	EMS	EMS-Tac	2020-02-20
155.340000		WXT827	186.2 PL	EMS - LVH-Pocono Creek Base A-2	EMS	Hospital	2026-04-01
155.355000		WQPN448	186.2 PL	EMS - LVH-Pocono Base A-3	EMS	Hospital	2020-01-10
155.400000		WPEN760	186.2 PL	EMS - Primary Response A-6	EMS	EMS Dispatch	2022-01-11
156.105000		KNBA769	125 DPL	Road Department	Hamilton Township	Public Works	2018-03-07
156.165000		KNHJ521	100.0 PL	Public Works	Ross Township	Public Works	2018-03-07
158.400000		WQQU922	174 DPL	Wawa Stores Inc. (Blakeslee Corners)	Retail Operations	Business	2017-07-07
159.135000	155.95500	WPNX741	3D4 NAC	EMS P-25	EMS	EMS-Tac	2020-04-09
159.135000		WPNX741	125 DPL	Highways	Pocono Township	Public Works	2011-05-17
159.195000	156.04500	KNEG218	432 DPL	Road Department	Middle Smithfield Township	Public Works	2018-03-08
380.387500				Site 001 Primary	Tobyhanna Army Depot	TRS	2025-07-24
380.437500				Site 001 Primary	Tobyhanna Army Depot	TRS	2025-07-24
380.687500				Site 001 Primary	Tobyhanna Army Depot	TRS	2025-07-24
